GSM110625	GSM110626	GSM110627	GSM110628	GSM110629	GSM110630	GSM110631	GSM110632	GSM110633	GSM110634	GSM110635	GSM110636	GSM110637	GSM110638	GSM110639	GSM110640	GSM110641	GSM110642	GSM110643	GSM110644	GSM110645	GSM110646	GSM110647	GSM110648	GSM110649	GSM110650	GSM110651	GSM110652	GSM110653	GSM110654	GSM110655	GSM110656	GSM110657	GSM110658	GSM110659	GSM110660	GSM110661	GSM110662	GSM110663	GSM110664	GSM110665	GSM110666	GSM110667	GSM110668	GSM110669	GSM110670	GSM110671	GSM110672	GSM110673	GSM110674	GSM110675	GSM110676	GSM110677	GSM110678	GSM110679	GSM110680	GSM110681	GSM110682	GSM110683	GSM110684	GSM110685	GSM110686	GSM110687	GSM110688	GSM110689	GSM110690	GSM110691	GSM110692	GSM110693	GSM110694	GSM110695	GSM110696	GSM110697	GSM110698	GSM110699	GSM110700	GSM110701	GSM110702	GSM110703	GSM110704	GSM110705	GSM110706	GSM110707	GSM110708	GSM110709	GSM110710	GSM110711	GSM110712	GSM110713	GSM110714	GSM110715	GSM110716	GSM110717	GSM110718	GSM110719	GSM110720	GSM110721	GSM110722	GSM110723	GSM110724	GSM110725	GSM110726	GSM110727	GSM110728	GSM110729	GSM110730	GSM110731	GSM110732	GSM110733	GSM110734	GSM110735	GSM110736	GSM110737	GSM110738	GSM110739	GSM110740	GSM110741	GSM110742	GSM110743	GSM110744	GSM110745	GSM110746	GSM110747	GSM110748	GSM110749	GSM110750	GSM110751	GSM110752	GSM110753	GSM110754	GSM110755	GSM110756	GSM110757	GSM110758	GSM110759	GSM110760	GSM110761	GSM110762	GSM110763	GSM110764	GSM110765	GSM110766	GSM110767	GSM110768	GSM110769	GSM110770	GSM110771	GSM110772	GSM110773	GSM110774	GSM110775	GSM110776	GSM110777	GSM110778	GSM110779	GSM110780	GSM110781	GSM110782	GSM110783	GSM110784	GSM110785	GSM110786	GSM110787	GSM110788	GSM110789	GSM110790	GSM110791	GSM110792	GSM110793	GSM110794	GSM110795	GSM110796	GSM110797	GSM110798	GSM110799	GSM110800	GSM110801	GSM110802	GSM110803	GSM110804	GSM110805	GSM110806	GSM110807	GSM110808	GSM110809	GSM110810	GSM110811	GSM110812	GSM110813	GSM110814	GSM110815	GSM110816	GSM110817	GSM110818	GSM110819	GSM110820	GSM110821	GSM110822	GSM110823	GSM110824	GSM110825	GSM110826	GSM110827	GSM110828	GSM110829	GSM110830	GSM110831	GSM110832	GSM110833	GSM110834	GSM110835	GSM110836	GSM110837	GSM110838	GSM110839	GSM110840	GSM110841	GSM110842	GSM110843	GSM110844	GSM110845	GSM110846	GSM110847	GSM110848	GSM110849	GSM110850	GSM110851	GSM110852	GSM110853	GSM110854	GSM110855	GSM110856	GSM110857	GSM110858	GSM110859	GSM110860	GSM110861	GSM110862	GSM110863	GSM110864	GSM110865	GSM110866	GSM110867	GSM110868	GSM110869	GSM110870	GSM110871	GSM110872	GSM110873
CD74	10.007708	9.528675	10.709717	10.767734	10.745804	10.355828	9.615517	10.466088	10.097764	9.554793	10.412027	9.122346	9.938267	10.066422	9.996329	9.245196	10.786661	10.040458	9.858502	9.594733	10.368547	10.5553	10.561901	9.817352	10.593768	10.619076	9.309732	10.416319	10.665356	10.845237	9.946742	10.577652	10.775514	10.257675	10.737882	9.907278	9.941177	10.215132	10.556658	9.660928	9.949779	10.445315	10.053243	10.702598	10.552551	10.301541	10.458897	10.126524	10.493131	10.497804	10.328523	10.843509	10.49272	10.364549	10.360144	9.794693	9.604952	10.405829	10.58656	10.615618	10.504374	10.033678	10.05014	9.857703	9.601407	9.911138	9.810521	10.3451	9.753274	10.823796	9.790367	10.438515	10.250432	10.345009	9.280796	10.903636	10.718258	10.627991	10.23017	10.090897	10.879893	10.625396	9.493043	10.12796	9.798362	10.341453	10.620496	11.44026	10.48892	9.638443	10.266543	10.424611	10.105486	10.294012	10.390814	10.46298	9.432994	10.320464	9.435564	10.338213	10.422394	10.839579	10.533368	9.954714	10.350634	10.293079	10.204089	11.179363	9.301056	9.29746	10.497074	10.209401	10.678469	9.723317	10.410718	9.690558	9.465861	10.467755	9.79535	10.258746	10.122222	10.738989	9.356362	10.571788	10.232173	10.506611	10.789999	9.802513	10.515687	9.917527	10.167425	10.903903	9.921941	10.390954	10.253278	11.008966	10.395416	10.459196	10.516894	10.728477	9.622418	10.18212	9.72175	9.636873	10.686264	10.239838	9.870947	10.935834	10.606671	10.049065	9.896333	9.829331	10.113454	10.296149	10.704453	8.968894	10.802768	10.144052	9.940873	10.33876	10.093747	9.428098	9.891372	11.151062	10.033134	10.39857	9.702507	9.876025	10.808978	10.177608	9.824914	10.209938	9.902011	10.423853	10.116083	10.895963	10.577851	9.984142	10.084991	10.454585	10.052135	10.320708	10.240846	10.132094	9.707141	9.816213	9.601863	9.719766	11.2202	10.16464	9.928364	10.848314	10.20828	10.429668	10.097594	10.550145	10.550007	10.51439	10.363845	10.01341	10.448276	9.912323	9.869702	8.946748	10.960246	9.782404	10.877	10.532186	10.615164	10.06614	10.233997	10.460771	9.216039	10.45768	10.191246	10.668418	9.398731	10.497692	10.327688	10.406262	10.711935	9.71581	10.015015	9.906092	9.646209	9.214942	10.795948	11.018118	10.413054	9.997045	10.217508	11.092839	10.838843	10.98931	10.163591	8.602681	9.508601	9.858005	6.839593	8.82084	10.72017	10.284694	10.661594	10.628211	11.013186	10.102018	10.060283	10.026507	10.822523
CLOCK	6.859994	6.833898	7.193349	6.95652	6.673833	6.756388	6.032696	6.701275	6.522531	6.541592	6.898918	6.595864	6.803074	6.585116	6.802895	6.504935	6.568072	7.006617	6.670111	6.817964	6.56358	6.735939	6.531317	6.751159	6.741031	6.793127	6.636726	6.246333	6.767686	7.013177	6.924257	6.619011	6.679318	6.555989	6.382034	6.577892	6.835045	6.883233	6.8855	6.384933	6.727886	6.569916	7.0233	6.778954	6.531879	6.776094	6.956657	6.841424	6.905008	7.081718	6.422853	6.522165	6.474831	6.772399	6.501841	6.507451	6.810117	6.304035	6.464736	6.577929	6.580811	6.499129	6.756804	6.632048	6.806277	6.505533	6.760928	6.492751	6.52243	6.52541	6.757786	7.111626	6.656438	6.417104	6.760452	6.831574	6.616034	6.945002	6.402823	7.188049	6.00412	6.771224	6.976837	6.151961	6.622883	6.338034	6.203002	6.55865	6.59369	6.769073	6.80426	6.554439	6.794249	6.626631	6.635049	6.528992	6.975558	6.424492	6.251373	6.548412	6.434214	7.022976	6.604375	6.666441	6.589097	7.023943	6.550229	7.094845	6.590029	6.775433	7.296852	7.018491	6.442125	6.649161	6.780052	6.719341	6.780865	6.633928	6.646743	7.017321	6.543542	6.463273	6.867501	6.930118	6.72309	6.928221	6.489444	6.681481	6.569171	6.270234	6.534826	6.886073	6.446131	6.588509	6.653688	6.639246	6.458444	6.577957	6.636115	6.686419	6.801948	7.058498	6.57367	6.614904	6.359244	6.711929	6.909583	6.848431	6.733556	6.81561	6.791966	6.831711	6.665499	6.53614	5.978386	6.594911	6.165942	6.764802	6.45361	6.791593	6.910005	6.700399	6.776323	6.787071	6.88351	6.54849	6.251446	6.780708	6.480311	6.735227	6.595666	6.483009	6.761071	6.411817	6.604696	6.113184	6.591072	6.735309	6.543418	6.456252	6.720545	6.604915	6.687761	6.639492	6.584387	6.432534	6.507592	6.458706	6.785804	6.613557	6.841887	6.643434	6.609084	6.389035	6.716329	6.727718	6.416103	6.187292	6.698654	6.819608	6.117514	6.370632	6.738887	6.805908	5.96899	6.775456	6.395161	6.238509	7.045416	6.503222	6.699181	6.618469	6.758628	6.88533	6.798406	6.358198	6.7731	6.654379	6.439809	6.941582	7.037133	6.680681	6.449896	6.675557	6.858762	6.852488	6.542636	6.624779	6.377433	6.594427	6.533756	6.67477	6.274446	6.224827	7.0222	6.916791	6.501866	6.491088	6.964884	7.004655	6.808118	6.615899	6.390271	6.570193	6.6363	6.702662	6.561151	6.721303	6.600598
COL17A1	6.584049	3.218242	5.562983	4.192116	3.641235	5.746577	6.637551	3.42056	3.583705	3.841351	5.486748	5.220314	4.405399	2.778376	5.867695	5.868331	3.571983	3.916908	3.657016	3.301891	3.498409	3.70604	3.420898	5.079881	4.1847	3.773862	4.040269	5.897923	3.195064	2.978478	5.434083	4.10603	4.026224	3.699279	2.873142	6.071576	3.848132	3.954617	3.302781	4.916773	3.244744	5.558324	6.28191	6.415085	3.662035	5.434022	3.055935	6.128693	2.769399	4.089989	3.826167	3.414285	3.630209	4.01867	3.804571	5.848638	3.760459	4.13902	6.07285	5.617737	5.285136	5.092306	6.073878	6.730561	5.884475	3.730462	6.287009	7.071487	7.413971	3.376812	4.250816	5.403144	6.630605	3.251272	3.95069	5.206025	3.071419	4.727054	3.904231	5.750804	3.760158	4.235695	3.961889	6.648958	2.858689	4.340256	3.5996	3.693978	3.918476	5.354876	5.080504	6.545124	5.493178	5.811365	3.304014	5.680579	5.934443	5.430818	5.524901	3.389138	3.829981	5.844247	5.408605	3.532711	3.832699	3.845524	6.819466	3.87448	3.974634	6.521928	4.100947	2.635783	3.00199	5.473729	5.441755	2.779493	3.8414	6.68564	5.222248	6.051693	5.392801	5.65131	5.563245	3.853727	4.055674	3.481519	3.640737	3.908592	5.926515	5.213112	4.096792	5.854949	4.626023	4.407379	5.052911	4.370609	6.555596	6.423028	6.161214	3.538207	6.272854	3.922737	4.683444	3.360342	5.700083	5.546258	4.352334	3.606678	5.843945	3.73271	5.669074	2.880936	4.117301	4.185192	4.78509	3.774626	6.038127	6.170475	4.56215	6.69029	3.411386	3.762536	5.605031	4.038764	4.478652	5.775901	6.128245	5.941137	3.777992	5.94014	3.809915	3.83964	5.249173	5.624975	3.840372	2.969684	5.343246	5.946804	3.902107	5.651659	3.301296	5.300928	3.848039	5.59663	3.455074	6.349439	5.163762	2.834165	3.032786	3.81452	5.337274	5.423892	5.185213	6.340777	5.847091	4.171049	5.384099	3.852293	5.090573	3.822535	6.877317	4.396019	4.399599	5.99918	3.162151	3.623229	4.223861	4.293164	5.193435	3.906221	2.936512	3.815939	3.912142	4.955194	4.065434	5.500845	6.533302	3.539936	7.72866	4.78053	5.617948	6.04176	4.406892	5.238378	5.328127	3.255286	3.617648	3.265682	3.776343	3.805043	3.835706	3.654839	5.220564	3.470139	3.517438	3.724395	6.727627	3.527149	3.643946	3.86896	4.435205	3.855865	3.904392	3.845939	3.534466	6.153948	3.338043	6.098742	3.888111
CXCL13	4.459785	5.379568	7.641458	8.755785	7.143243	8.508854	4.690654	6.11385	7.463422	5.521979	6.197314	3.15653	5.247479	5.572096	4.122399	4.543425	6.297446	8.28978	5.989178	2.985584	7.280029	8.369651	6.219483	3.587219	7.967314	3.744539	9.167188	5.640315	7.535525	7.523474	5.959156	7.421595	8.632976	7.613308	8.746381	4.611349	5.128494	4.801897	5.391152	5.78821	6.755037	5.31255	5.589959	8.32158	6.782955	5.851312	7.049093	6.267592	5.297827	8.064628	7.8555	8.258672	7.664769	4.937437	5.100229	6.677225	5.133668	6.443419	8.725716	5.529376	5.816663	4.930167	5.924923	4.22476	5.520267	5.218594	6.022122	5.394574	9.239488	9.1271	4.801828	6.677278	5.642732	7.006379	4.93586	8.750292	8.504773	6.457345	7.135205	3.953005	9.9322	7.218212	5.095667	5.79199	9.167024	6.445011	8.166194	9.664962	6.463111	3.651047	3.731813	7.157441	5.885272	4.135344	6.363567	6.311124	4.079315	4.502465	5.963069	5.300967	6.990471	8.081401	7.616867	4.827937	8.308973	5.06186	6.371835	8.087648	3.806537	4.928392	7.475471	6.918208	8.433356	5.732894	4.78247	4.158129	3.403646	3.594162	6.623958	5.96698	5.113406	7.91755	5.682849	7.87186	8.070033	7.377329	8.936595	5.796639	7.945403	5.280607	3.52607	6.655978	5.192131	2.618875	4.399315	6.230318	5.890144	9.308105	7.737618	8.320214	8.374797	5.377305	4.870816	7.074098	6.077558	9.127279	4.358544	7.435215	5.782623	5.455657	3.418977	3.56099	4.771448	7.429604	9.057951	3.981236	8.755979	8.079463	6.781365	6.07437	3.632209	3.227099	6.438794	8.898344	4.544704	5.293003	5.495186	6.148665	6.876517	5.461628	6.249964	5.836236	5.504236	5.881608	4.518802	9.662583	6.130424	7.28155	5.081704	4.043428	5.720732	8.464105	8.148963	7.223146	2.991579	6.33287	6.453266	4.95473	8.638887	7.832979	6.010214	7.038012	4.249843	6.047852	9.18856	8.396398	6.08125	7.084155	6.078696	6.942256	10.918982	8.846995	5.879287	4.986354	9.208713	7.061916	8.725117	7.625308	7.543155	5.672638	5.0806	7.177235	4.505675	6.027662	7.905744	8.111849	9.350268	5.197848	6.380664	6.267723	8.123706	10.047955	6.840453	10.062718	7.524615	4.966862	9.370064	7.938499	7.041767	4.835672	4.882139	8.448942	7.497998	8.341836	5.259009	4.462264	5.028105	4.891171	4.090743	3.412422	7.881659	6.440814	8.724884	5.843062	8.687812	5.925459	4.783283	8.824645	9.059068
CXCL9	7.06883	8.106015	9.29444	9.244537	9.333317	6.739558	6.62104	7.324551	7.041777	7.480832	8.143643	6.439154	7.181847	7.850264	7.181874	6.759283	8.701543	8.765589	7.324966	6.585094	9.319239	9.490093	7.879481	6.496472	10.10716	7.199605	6.69839	7.11058	7.459914	8.669345	8.266365	8.947963	9.553772	9.069794	9.913938	6.945103	6.997941	6.669717	8.043757	7.383362	8.397189	7.606311	6.834888	9.511391	7.444281	7.641005	8.433895	8.310054	6.880481	6.972701	8.554743	9.135674	6.902974	6.677667	8.144277	6.953723	7.566318	8.530777	9.450936	8.419666	7.263319	7.178461	7.997437	6.957561	7.091014	6.871845	7.100097	7.419874	6.298579	9.657415	6.206293	8.384845	7.486089	7.921285	6.913684	10.816878	9.693315	7.082236	9.323698	7.149621	10.695397	9.270926	6.866012	7.143188	6.908412	7.443939	9.699795	10.526269	8.878835	7.329784	7.522271	8.13664	7.304121	6.871595	6.526258	7.584696	6.705744	6.648228	6.710822	6.868276	7.993028	9.876503	9.249421	6.722739	6.989579	7.07869	7.115613	9.874555	6.677634	7.294406	7.499141	8.832228	10.05641	6.941257	6.968891	6.354273	6.399395	6.768701	7.638802	7.950837	8.126851	10.123878	7.021171	8.966601	8.770695	8.711608	10.359215	7.330128	9.783047	7.023985	6.841977	10.241516	7.220734	6.418194	6.737687	8.721226	7.162959	7.976665	8.81011	8.426635	7.847142	6.446385	6.726587	6.681666	9.00609	8.111019	6.698197	8.576973	8.075053	7.108752	6.977741	7.355131	7.139396	7.047908	8.809171	7.016547	9.705917	9.196072	9.039392	7.939701	7.288955	6.477658	7.325187	10.234107	7.803021	7.429602	7.089365	7.810461	8.030315	7.28151	8.944433	7.766244	7.063845	8.014462	6.981374	10.172203	7.219754	7.561013	6.768951	8.189536	6.674904	7.032727	9.524486	6.821057	6.616377	7.344955	8.180322	7.62727	9.70123	10.230787	7.223904	9.033878	6.63705	7.195215	8.043759	9.470406	7.61768	8.78715	7.365377	7.299331	8.839121	7.09108	6.75042	6.484166	10.959999	6.867934	10.229401	8.992208	9.451505	7.430277	7.761968	9.349408	6.865237	7.592296	9.209535	9.741688	6.741982	7.265517	8.08223	8.213753	9.826859	7.422142	8.062114	7.354436	8.125315	6.732551	10.244125	8.882806	9.17831	7.237122	7.020014	10.257325	9.11417	10.382831	7.454899	6.381847	5.664639	7.093568	6.267689	6.188079	9.786946	8.795366	9.945107	7.361527	10.088669	7.406555	7.607546	7.020203	10.001552
DDB2	6.95055	6.929833	6.629265	6.647651	6.648366	7.048543	6.446064	7.549399	6.750914	6.315384	7.692422	6.365975	6.834808	6.860013	6.438375	7.121041	6.972437	6.639395	6.908324	6.934175	7.170092	6.43204	7.049502	7.458715	6.059982	7.71141	6.692746	6.782916	7.537025	6.934678	6.847755	6.534185	6.901617	6.440716	6.894289	6.770168	6.725373	6.745347	7.473338	6.988926	5.366577	6.770867	7.377491	7.296245	6.99323	6.864731	7.063823	7.397781	7.046462	7.061814	6.403136	7.085503	7.136196	7.389994	7.319902	7.184542	6.216216	6.381719	6.634269	7.447865	7.547836	6.552465	7.186412	6.780175	6.724485	6.731638	6.914993	6.943654	6.585832	6.974283	7.842071	6.747607	6.783394	6.42021	6.118964	7.003067	6.12635	7.160318	7.436143	6.756166	7.310823	6.623435	6.487416	6.868429	6.794642	6.446957	6.695048	7.432852	7.234326	6.246575	6.972821	7.385125	7.118831	7.139907	7.096773	7.364895	7.200757	7.339553	6.932029	7.003516	7.025554	6.733049	6.900023	7.284542	7.24118	6.949864	7.338563	7.341685	6.15642	6.82724	7.01415	7.124345	6.773277	6.930415	7.091375	6.429329	6.657791	7.147637	6.73555	6.897865	6.647203	7.251973	6.731004	6.905378	6.922702	6.397807	7.32427	7.533466	7.593811	6.847681	6.609816	6.977396	7.187039	7.39992	6.477291	6.887818	7.390861	7.001672	7.06114	7.304376	7.169582	7.064726	6.819449	6.383998	6.689007	6.827876	6.782241	6.909201	6.790962	7.051143	6.829367	7.036016	7.07297	7.069096	6.776577	6.292587	6.705294	6.585074	6.56462	6.979378	7.427733	6.672724	7.03505	6.916496	6.717996	6.471071	6.807596	6.59018	6.580329	7.369202	7.361214	7.531023	7.061042	6.78368	7.043457	6.992361	6.519175	6.504028	6.866344	6.640603	6.984965	6.566707	6.782782	6.533118	6.579915	6.806022	6.046614	6.15449	6.831904	6.977276	6.581672	7.332803	6.488567	6.523004	6.587047	6.892498	6.72252	7.184268	7.127113	7.008515	7.022189	6.774198	7.070836	7.243939	7.218764	6.613485	6.739197	6.518954	8.39771	7.311935	6.844033	6.83706	6.384929	6.978175	6.876873	7.691047	7.213982	7.649015	7.680803	7.20987	6.973949	6.845074	6.23506	6.643515	6.732436	6.998587	6.947165	7.072159	6.393924	7.761222	7.889954	7.396983	6.608552	7.025791	7.133235	6.271347	7.754451	7.574993	6.749687	5.982347	6.364802	6.621587	6.713061	7.20792	6.931382	6.83211	7.007852	7.096376	6.99914
EGR3	7.431647	6.518082	6.122716	6.970383	6.536977	7.903922	7.523223	6.562804	7.077523	7.895019	6.050521	7.026569	7.038674	6.845519	7.422444	6.560153	8.106623	7.108825	7.821062	8.448828	6.96316	7.606584	7.227723	6.684712	6.540285	8.512536	6.602704	8.430304	8.261772	6.087432	6.443278	7.177059	6.70889	6.404785	6.54178	8.369919	7.113948	7.123977	8.018187	6.690966	7.566342	8.06518	6.857941	8.77259	6.766509	8.339201	8.52681	6.950191	6.787209	8.288298	6.513104	6.777486	7.083237	7.40587	8.704938	8.022318	5.922917	6.932949	6.869087	8.23606	8.59649	7.701129	7.03205	8.331519	6.632655	7.889783	6.836457	7.072128	8.180289	6.004343	6.528441	7.932834	7.905046	7.110458	6.817717	6.596043	6.972257	6.390361	6.046259	7.595914	7.047275	6.125247	6.519391	7.257116	6.23414	6.988749	6.908077	7.188378	7.948876	6.982046	8.348667	7.840591	7.791663	7.061633	5.893017	7.676106	6.797974	7.803224	7.694045	7.787261	8.584596	8.085866	7.701216	6.106704	6.65256	8.363211	6.776322	7.371259	7.836316	8.366353	7.269664	6.50254	6.511756	7.148127	6.686606	6.625079	5.633278	7.790301	6.475184	9.197832	6.894682	6.131237	7.144338	7.104355	6.706494	8.337475	6.916667	7.189592	7.553047	6.929468	7.689204	6.731432	6.27039	6.154741	7.44206	6.388003	8.154583	7.074064	7.181036	6.963713	6.26764	8.033572	6.26583	6.843536	7.8692	7.276052	8.386727	7.446515	7.856287	7.676423	8.81459	7.218409	6.759168	6.84211	6.569225	6.591631	6.817331	7.175679	6.394227	7.950444	8.270662	6.759329	7.480331	6.887661	6.452028	6.579277	7.57859	6.556167	7.441849	8.483837	6.578096	7.860829	9.232237	6.61462	8.545849	6.423504	6.449406	8.113405	7.084718	7.643778	6.182941	7.443399	6.310298	8.013847	6.498061	5.90295	6.725219	6.637076	6.652624	6.147617	7.69639	7.67888	8.552707	7.556576	7.074076	6.932679	7.201592	6.888855	6.821839	7.276357	7.44942	7.176917	6.936472	6.698799	6.878572	7.83942	6.844365	6.988057	7.755197	7.133145	6.860072	6.42544	6.583428	8.246699	6.652865	6.770227	7.131417	7.454338	6.694695	7.124504	6.934362	7.345087	6.999915	6.065123	6.867612	7.791994	6.955816	6.974554	7.164469	8.445886	6.99743	6.523285	7.458495	6.741721	6.595578	6.830548	6.8954	7.656096	7.217927	7.095898	6.863795	7.648205	6.813097	7.237825	5.951372	7.072914	7.000276	7.070085	6.492068
EPB41L4B	7.076682	6.631788	6.384347	6.834409	6.742348	6.973356	6.453071	7.06122	6.872184	6.381611	7.0971	7.149198	7.157447	7.006408	7.005285	7.54108	6.353874	6.572035	6.939083	6.675926	6.385108	6.468318	7.031378	6.427595	6.819864	6.692846	6.886035	6.27681	6.75823	7.21375	7.201024	6.959646	7.203681	6.904968	7.042667	6.512488	6.294453	7.02597	6.868328	6.491507	7.04323	6.728363	7.027354	6.42543	6.949918	6.765868	6.70224	7.424956	6.722403	7.14476	6.878083	6.9231	6.464366	7.088425	6.517406	6.931147	6.320686	6.392985	6.229873	6.898413	6.450935	6.98214	6.73496	6.953958	7.0705	6.369109	7.000473	6.667469	7.196244	6.700886	7.055286	6.741255	6.762622	7.393804	7.291878	7.006704	6.88599	6.597688	6.148907	7.553926	6.25311	7.002051	6.951745	6.611116	6.183329	6.644068	6.673168	5.793024	6.477317	6.877636	6.555799	6.754923	6.67279	6.207483	5.982334	6.98887	6.928652	6.608184	6.915258	6.630769	6.702635	6.965798	6.715211	6.97522	6.566983	6.941107	7.159852	6.64635	6.572593	7.005894	7.387536	6.964656	6.775788	7.187886	7.519741	7.130121	7.049054	6.512237	6.476553	6.798949	7.005165	6.407674	6.686849	6.141868	6.276141	6.485559	6.10846	6.93602	6.666232	7.09985	6.888701	6.897428	6.667641	6.820776	7.33701	6.682505	6.3971	6.696867	6.753639	6.565451	6.809637	6.906277	6.932975	6.69502	6.811492	6.570875	6.727014	6.876819	6.868376	7.196607	7.078806	6.846297	7.142789	7.057557	6.026348	6.853878	6.291771	6.685045	6.880664	6.549713	6.716453	6.716546	6.898809	6.967656	6.975579	6.526007	6.816963	6.911638	6.623829	7.127417	6.53288	6.521645	6.70901	6.613494	6.855784	6.419512	6.655629	6.583295	6.9146	6.698086	6.674471	6.736846	7.053999	6.673122	6.336946	6.488776	6.412694	7.333884	6.319631	6.534174	6.602444	6.436879	6.522825	6.747637	6.968906	6.45537	7.04639	7.155062	6.802234	6.793372	6.21973	6.733237	7.181089	6.569956	6.410295	7.326816	6.050844	6.693655	6.715221	7.189963	6.580614	6.815379	7.021149	6.771634	6.412198	6.830739	6.828475	6.934327	6.363077	6.921004	6.355882	7.12328	6.624481	6.757757	7.213915	7.200038	6.353313	6.349733	6.360641	7.373987	6.523689	6.634518	6.690071	6.636714	6.835418	6.821525	6.702871	6.796546	7.329141	6.75587	6.541253	6.571161	6.413299	6.631811	6.517755	6.760394	6.706086	6.843195	6.32763
FLT3	6.57073	5.388963	5.954578	6.190015	5.945604	6.134992	6.60495	5.932339	5.859074	5.696198	6.025068	6.552814	6.229477	5.693884	5.757202	6.169649	5.596939	6.215062	6.1701	7.277875	6.190329	6.578858	5.874159	5.767357	6.455133	6.071773	5.940277	5.95158	5.962213	6.411901	6.246341	6.166432	6.212967	5.858681	6.045893	5.95313	6.588607	6.452545	5.598132	5.945801	6.468523	6.196743	6.146371	6.221275	5.93923	5.693998	6.49592	6.349794	6.078382	6.189573	5.33288	6.230038	5.734697	6.922389	5.724976	5.932571	5.828862	5.898804	5.600413	5.934509	6.667415	6.139892	5.844652	6.507899	6.25524	6.263511	6.298251	6.128361	6.499016	5.833028	6.12485	6.498538	6.351794	5.541107	5.877015	6.50532	5.917757	6.285685	6.509264	6.63061	6.56282	6.135944	5.120528	6.291459	6.24832	5.856285	6.337682	6.636847	7.097826	6.303258	6.400575	5.904786	6.33982	6.707072	5.521265	5.667927	6.204087	6.071442	5.989321	6.977312	6.108026	6.350414	5.696678	6.174016	5.656672	6.339049	6.673572	6.407406	6.140749	6.94013	6.479105	5.844934	6.305121	6.416482	5.855852	5.22849	5.77331	6.128953	6.307011	5.974725	5.875146	5.673609	5.93255	6.447096	6.157086	5.936692	6.258234	6.142083	5.828996	6.422774	6.969988	6.347449	6.299384	5.479971	5.846149	6.050346	6.000515	6.150366	5.980334	6.15372	6.574994	6.23079	5.902927	5.4836	6.304805	6.709191	6.179035	6.714646	6.714317	6.117012	6.507358	5.78063	6.423802	6.772953	6.421259	5.783767	6.05045	6.18809	6.249038	6.339086	6.789161	7.250324	6.232736	6.376879	6.535459	5.709002	6.918508	6.589226	6.261061	6.213831	5.810541	5.638179	6.586146	6.13465	6.109649	6.300472	6.394984	6.10485	5.618718	6.459738	7.194295	6.375834	6.365898	6.650462	6.502797	6.207935	6.474774	4.952758	6.478794	5.999672	6.892166	6.618768	6.063031	5.888641	5.874231	6.281321	6.111017	5.950573	5.99992	6.908976	6.63912	7.024021	5.789479	5.712681	5.852623	6.214421	6.31596	6.257139	5.727462	6.823418	6.057788	6.079178	6.452055	6.554228	5.805498	6.164688	6.786307	6.190252	6.008436	6.159584	6.264097	6.018998	5.826811	5.882047	6.117197	6.456024	6.035688	5.995827	6.180947	6.719142	6.219444	6.585728	5.805244	5.879225	6.310656	5.39985	5.529222	5.694701	6.417226	5.551774	6.861397	6.402602	6.262604	6.330525	6.881572	6.222547	6.069311	6.572454	6.675445
GP6	5.652321	4.005633	5.246814	5.414469	5.844844	5.605234	5.687754	5.391944	5.195333	4.887928	5.543011	5.877655	5.181461	5.903942	5.698929	6.104549	5.459904	5.241834	6.246433	5.157124	5.303357	5.575461	5.249272	5.571903	5.681392	5.562373	5.037565	5.858497	5.4511	5.648147	5.567515	5.720487	5.5336	4.920627	4.397733	5.633436	6.77197	5.226363	5.385273	5.747256	4.389736	5.377762	5.764131	5.437914	5.687422	5.309715	5.268961	6.011356	4.669447	6.008369	5.070672	5.118208	5.09884	5.540936	5.478928	5.156705	5.623868	5.364342	5.296073	5.234413	5.345663	5.58941	5.493861	5.494018	6.087493	3.763289	4.972065	5.626768	5.94444	5.252163	5.353318	5.579533	6.307374	5.17393	6.043998	5.737022	5.628853	4.799291	5.364908	6.13372	5.383834	5.141993	5.300727	5.131191	5.672181	6.043763	5.433401	6.108504	6.039772	5.430477	5.346662	5.809639	5.702162	5.708303	5.035253	5.346177	5.838038	5.299002	6.108855	5.435224	5.792839	5.389286	5.125506	5.358724	5.934138	4.509236	5.888732	5.444082	5.142222	5.650771	6.448631	5.397622	5.93668	6.000033	6.272846	6.014091	5.320878	5.330114	5.903274	4.809303	5.004375	5.498253	5.583347	5.275487	5.104394	5.398001	4.986755	4.977081	5.36383	5.08549	6.040372	5.104521	5.877976	5.743638	5.459281	6.14113	5.360473	5.940732	5.298513	5.515737	6.242377	5.838388	5.803493	5.431113	4.999779	5.713805	5.489706	5.003674	5.720814	5.091859	5.332938	5.141836	5.362748	5.747276	5.518625	5.718994	5.839056	6.119332	6.200205	6.041853	5.925089	5.200509	5.92925	6.134334	5.453763	5.45356	5.74614	6.148489	5.129073	5.339079	5.804804	6.157713	5.631051	5.042426	5.517675	5.61743	5.655509	5.502405	5.51908	5.252014	5.47386	5.981557	5.228307	6.05373	5.53262	5.810046	6.004518	5.51702	5.330666	4.522065	5.558291	5.689264	5.887153	5.775383	5.707922	5.676366	5.475318	5.634911	5.998548	5.63361	5.652038	5.383455	5.410275	5.346898	5.035578	5.633539	5.452121	5.418977	4.771076	5.072899	5.504149	5.658072	6.078787	5.891129	5.223486	6.21293	6.03069	5.518678	5.570329	5.755152	5.74525	5.706056	5.696204	5.130751	5.737008	5.60429	3.712872	4.858593	5.459603	5.705894	5.96031	5.6454	5.322147	4.89308	5.815495	5.250752	5.603394	5.36918	5.841739	6.091609	5.239987	5.623153	5.645303	6.024002	4.979898	5.835715	5.711485	5.865357	4.810439
